superfamily,n_domains,avg_disorder_propensity,avg_charge_fraction,avg_hydrophobic_fraction,avg_proline_fraction,avg_complexity
f.23.21,1,3.8333333333333335,0.45901639344262296,0.36065573770491804,0.0,0.7397813236505899
a.154.1,1,3.0476190476190474,0.29896907216494845,0.4054982817869416,0.01718213058419244,0.8221694828272685
a.137.5,1,3.0,0.4222222222222222,0.3111111111111111,0.0,0.8685266348190391
a.2.8,1,3.0,0.4722222222222222,0.3472222222222222,0.0,0.7904029808027322
a.137.15,1,2.901639344262295,0.25,0.45,0.05714285714285714,0.8448475333086668
g.16.3,1,2.8125,0.36,0.16,0.02666666666666667,0.8407857899617625
a.94.1,1,2.757575757575758,0.40559440559440557,0.3076923076923077,0.006993006993006993,0.8816757760519501
a.7.6,2,2.6647727272727275,0.32465834818775996,0.40873440285204987,0.010932857991681522,0.8310560342809694
g.88.1,1,2.55,0.30120481927710846,0.25301204819277107,0.024096385542168676,0.8406473019646488
b.117.1,1,2.526315789473684,0.30128205128205127,0.3269230769230769,0.03205128205128205,0.8704488998953941
a.7.16,1,2.5238095238095237,0.3132530120481928,0.39759036144578314,0.012048192771084338,0.8517994740515427
c.9.2,1,2.5,0.38028169014084506,0.2746478873239437,0.04225352112676056,0.9020542114792531
a.34.3,1,2.5,0.3620689655172414,0.3620689655172414,0.034482758620689655,0.8224145756352061
a.239.1,1,2.4705882352941178,0.41333333333333333,0.32,0.04,0.8746077725894856
b.104.1,2,2.4425675675675675,0.41940532081377147,0.24139280125195617,0.18877151799687011,0.8176204860892335
a.2.16,1,2.4166666666666665,0.46808510638297873,0.3404255319148936,0.0,0.7970593511030708
g.40.1,4,2.4035714285714285,0.3710221454173067,0.1461757552483359,0.097097414234511,0.8194098680927664
d.390.1,2,2.402745995423341,0.23108800482218203,0.41161844484629295,0.06216094032549729,0.8510791910876745
g.82.1,1,2.4,0.2727272727272727,0.35064935064935066,0.025974025974025976,0.8886358892660836
a.137.10,1,2.3947368421052633,0.4326241134751773,0.3333333333333333,0.03546099290780142,0.8679218584966716
c.12.1,3,2.3910675381263617,0.32672622592813183,0.32293296274237315,0.03886969757130567,0.8783615224055555
b.101.1,1,2.375,0.3333333333333333,0.21875,0.08333333333333333,0.8774755967481653
d.186.1,1,2.3333333333333335,0.3225806451612903,0.4032258064516129,0.0,0.8636063625723004
a.2.7,5,2.3263091049817057,0.4015257610606448,0.38466618652665163,0.03533505254435487,0.7884256725579663
a.282.1,1,2.303030303030303,0.2076923076923077,0.4307692307692308,0.06923076923076923,0.8996404945481068
a.171.1,1,2.27027027027027,0.36496350364963503,0.35766423357664234,0.0072992700729927005,0.8864957339210963
a.5.1,3,2.2611111111111115,0.28821428571428576,0.48753968253968255,0.020555555555555553,0.7979333295695739
f.50.1,1,2.257142857142857,0.203125,0.2734375,0.1015625,0.9203453089415172
a.137.7,1,2.25,0.3448275862068966,0.3103448275862069,0.0,0.7800001585625616
d.301.1,2,2.2336601307189543,0.3515625,0.3515625,0.046875,0.8549153392079678
b.72.3,1,2.2222222222222223,0.3333333333333333,0.30303030303030304,0.09090909090909091,0.8848487867734074
a.68.1,1,2.2142857142857144,0.2523364485981308,0.3177570093457944,0.018691588785046728,0.9132336992394536
a.25.3,4,2.2007660455486544,0.22726355873946236,0.3794004848221716,0.01227409638554217,0.8678636047328886
a.21.1,16,2.196035635685558,0.3731242694222277,0.35554817612338036,0.05428973860844671,0.898044368015318
a.137.14,1,2.176470588235294,0.38095238095238093,0.31746031746031744,0.031746031746031744,0.8955580155058505
g.88.2,1,2.1666666666666665,0.41025641025641024,0.28205128205128205,0.02564102564102564,0.7644171007896098
a.2.10,3,2.1615737203972496,0.3125925925925926,0.4511111111111111,0.007407407407407408,0.7995153410701129
a.215.1,1,2.1555555555555554,0.17365269461077845,0.40119760479041916,0.03592814371257485,0.888430442317737
d.362.1,1,2.1481481481481484,0.3402061855670103,0.3917525773195876,0.010309278350515464,0.8435750444868548
a.8.4,3,2.13743194540296,0.34652777777777777,0.40109126984126986,0.0076388888888888895,0.8749268241954113
a.4.7,2,2.1306818181818183,0.2703624733475479,0.3800639658848614,0.058422174840085286,0.8957399439880444
b.85.2,1,2.130434782608696,0.18947368421052632,0.43157894736842106,0.05263157894736842,0.8732543071528506
d.29.1,1,2.130434782608696,0.3780487804878049,0.4146341463414634,0.04878048780487805,0.860656260900769
a.46.2,4,2.130266523085207,0.25525854154370775,0.4659239950160666,0.03700734474391763,0.8568808407792441
d.58.23,3,2.1277777777777778,0.2099222350230415,0.43755280337941627,0.056177995391705066,0.8565791906875134
d.270.1,1,2.125,0.17763157894736842,0.4342105263157895,0.05921052631578947,0.8786878909631415
b.81.3,1,2.0943396226415096,0.164021164021164,0.4126984126984127,0.042328042328042326,0.8653415272843898
a.216.1,3,2.084236646206086,0.21217207585592465,0.43284561537482497,0.014656484663357514,0.8766419205270881
a.137.1,1,2.076923076923077,0.4489795918367347,0.24489795918367346,0.02040816326530612,0.8598828113474543
a.63.1,2,2.0731292517006805,0.24460587447830537,0.37103315221670996,0.018840066146940705,0.8620988426763811
a.2.21,1,2.0625,0.3269230769230769,0.40384615384615385,0.0,0.8498563745731582
a.25.6,1,2.0555555555555554,0.34375,0.390625,0.015625,0.8873983769862421
a.147.1,1,2.05,0.3582089552238806,0.40298507462686567,0.05970149253731343,0.9018693917542292
a.155.1,2,2.0416666666666665,0.3702127659574468,0.3702127659574468,0.02127659574468085,0.8365580275573541
b.2.10,1,2.0285714285714285,0.13793103448275862,0.4206896551724138,0.0896551724137931,0.872610368669299
c.8.1,1,2.027027027027027,0.22556390977443608,0.39849624060150374,0.03759398496240601,0.9003764953574364
a.24.3,9,2.0269189903491176,0.26031893406911,0.4418851086999073,0.03388946698069799,0.899829497627768
a.24.1,1,2.0238095238095237,0.3333333333333333,0.4097222222222222,0.006944444444444444,0.8501574433511815
a.24.23,1,2.0153846153846153,0.2168141592920354,0.37610619469026546,0.04424778761061947,0.9248216980666201
d.386.1,1,2.0,0.20238095238095238,0.40476190476190477,0.08333333333333333,0.8984164392415194
f.1.5,1,2.0,0.20279720279720279,0.40559440559440557,0.04895104895104895,0.8789796942206047
a.5.6,2,1.9984848484848485,0.3121031746031746,0.3871031746031746,0.023412698412698413,0.8738529452011204
b.61.4,2,1.9852941176470589,0.2687130407718643,0.40495642701525053,0.02606598194833489,0.9011712645553331
g.41.8,10,1.9805050401767659,0.33215253727123756,0.2706766549639182,0.05167916000438525,0.8827711354755138
a.17.1,2,1.9761904761904763,0.36455669224211423,0.23380221653878944,0.05104433077578858,0.8875835348975711
a.2.14,1,1.9666666666666666,0.41346153846153844,0.34615384615384615,0.038461538461538464,0.9124967689932884
d.245.1,1,1.9655172413793103,0.29,0.32,0.04,0.9237105904649133
d.247.1,1,1.9642857142857142,0.3655913978494624,0.3225806451612903,0.06451612903225806,0.9133296703688963
g.84.1,1,1.96,0.3516483516483517,0.17582417582417584,0.054945054945054944,0.824449253562314
a.38.1,7,1.9542507325510847,0.34861573621040226,0.3209702135351143,0.01974937894744074,0.872444585899719
f.48.1,1,1.95,0.3049645390070922,0.3829787234042553,0.0,0.883447544462225
